Link to bottom (Behavior),,,Link to land-mass (Habitat),,,Associate,,,Salinity,,,Temperature,,,Food,,,Aggregation,
demersal,1,,inland,0,,vegetation,1,,Freshwater,0,,Antarctic/ Arctic,1,,Scavenger,1,,solitary,1
epibenthic,1.7,,estuaries,1,,benthic invertebrates,1,,Brackish,1,,Boreal,1.3,,Detritus/ offal feeder,1,,pair,2
bathydemersal,1.2,,lagoon,1,,coral,1.5,,Marine,2,,cold Temperate,1.6,,Harbivorous,1.2,,small group,3
benthopelagic,2,,vegetation,1.3,,floating objects,2.2,,High oceanic,3,,Temperate,2,,"jellyfish, salps",1.6,,school,4
pelagic,3,,seaglass,1.3,,jellyfish,1.8,,,,,warm Temperate,2.4,,mollusks,1.5,,large school,5
epipelagic,3.2,,mangroove,1.3,,"Floating weeds, Sargassum raft",2,,,,,Subtropical,2.6,,bentic invertebrates,1.4,,,
mesopelagic,3,,shore,1.1,,marine turtle,2.5,,,,,Tropical,3,,pelagic invertebrates,1.8,,,
bathypelagic,2.5,,intertidal,1.1,,fish,2.8,,,,,,,,Plankton,1.8,,,
,,,inshore,1.3,,large pelgagics,3,,,,,,,,crustaceans,2,,,
,,,reef-associated,1.5,,shark and ray,3.2,,,,,,,,shrimps,2.2,,,
,,,reef,1.5,,marine mammals,4,,,,,,,,squids,2.6,,,
,,,coral reef,1.5,,ships,4.5,,,,,,,,cephalopods,2.5,,,
,,,kelp forest,1.5,,seabirds,5,,,,,,,,small fish,3.2,,,
,,,seaward reef,1.7,,,,,,,,,,,bony fish,3,,,
,,,offshore,2,,,,,,,,,,,large fish,3.4,,,
,,,neritic,2,,,,,,,,,,,shark and ray,3.6,,,
,,,coastal,2,,,,,,,,,,,marine mammals,4,,,
,,,land mass,2,,,,,,,,,,,marine turtle,4.5,,,
,,,continental shelf,2,,,,,,,,,,,carrion,4.5,,,
,,,insular slope,2.2,,,,,,,,,,,seabirds,5,,,
,,,island,2.2,,,,,,,,,,,,,,,
,,,continental slope,2.5,,,,,,,,,,,,,,,
,,,semi-oceanic,2.5,,,,,,,,,,,,,,,
,,,seamount,2.8,,,,,,,,,,,,,,,
,,,underwater rise,2.8,,,,,,,,,,,,,,,
,,,underwater canyon,2.8,,,,,,,,,,,,,,,
,,,open water,3,,,,,,,,,,,,,,,
,,,oceanic,3,,,,,,,,,,,,,,,
,,,Deep benthic,2.5,,,,,,,,,,,,,,,
