step,train_loss,train_acc,val_loss,val_acc
1,1.8966067266464233,0.3074,1.793308646774292,0.366
2,1.5600381494522095,0.429,1.5821147951126098,0.4296
3,1.4327880350112916,0.4808,1.4473534896850586,0.4856
4,1.337635898208618,0.5224,1.4269114852905274,0.5004
5,1.3267715061187744,0.5236,1.288629384613037,0.5328
6,1.2514379241943359,0.5518,1.3340532823562623,0.5432
7,1.2350907688140869,0.5632,1.4747194160461425,0.4968
8,1.1758102035522462,0.5812,1.2572643367767333,0.558
9,1.1431775857925415,0.5922,1.3078012104034424,0.564
10,1.1244886650085448,0.606,1.259402647781372,0.584
11,1.1020950776100158,0.6062,1.1900478992462158,0.5914
12,1.0705005052566527,0.6102,1.2815384928703308,0.5694
13,1.0638154329299927,0.6204,1.1912273736953736,0.5802
14,1.0417676866531371,0.6332,1.1895843479156494,0.5968
15,1.0184713569641113,0.637,1.0846949862480164,0.6236
16,0.9882419481277466,0.6512,1.142450636291504,0.6134
17,0.9506206537246704,0.661,1.1503403087615967,0.6088
18,0.9258598472595215,0.6704,1.1400745367050171,0.6266
19,0.922409315109253,0.6708,1.0624220478057862,0.6442
20,0.9116610557556152,0.6732,1.0393627822875977,0.6456
21,0.8950107234954834,0.6812,1.1379231601715087,0.6156
22,0.8782653299331665,0.683,1.0097050411224364,0.6596
23,0.8501465307235718,0.6982,1.0150073524475098,0.6548
24,0.8175039935112,0.706,1.041024423980713,0.6446
25,0.8028995244979859,0.712,1.0144417825698853,0.6594
26,0.7630757497787476,0.7332,0.9812646301269531,0.6626
27,0.7577304277420044,0.7284,1.0329315532684327,0.6546
28,0.76660631980896,0.7274,1.034165726852417,0.663
29,0.7688035251617432,0.7256,1.0365054802894593,0.6582
30,0.7232217631340027,0.7468,1.007163962841034,0.6612
31,0.6962267787933349,0.7524,0.9975383949279785,0.666
32,0.7061503288269043,0.7432,0.9624208243370056,0.671
33,0.6856364481925964,0.7568,0.9792916859149933,0.6782
34,0.6468045581817627,0.771,0.9773676308631897,0.6848
35,0.66538793258667,0.764,0.9863392499923707,0.674
36,0.6650984842300415,0.7686,1.002795916748047,0.6758
37,0.6315450687408447,0.7802,1.0545762825012206,0.6686
38,0.6336705261230469,0.7724,0.9575932952880859,0.6878
39,0.6045910148620606,0.7878,0.9516168606758117,0.6914
40,0.5991379342079163,0.786,0.9653685474395752,0.6888
41,0.5627628496170044,0.806,0.9568659805297851,0.695
42,0.5687628202438354,0.8032,0.9458174588203431,0.6844
43,0.5387251367568969,0.811,0.9422539540290833,0.6998
44,0.5405331955432892,0.8098,0.9540999593734741,0.6956
45,0.492463902759552,0.8296,0.9534613660812378,0.6994
46,0.5109288818359375,0.822,0.9695917165756226,0.6948
47,0.5046504368782043,0.8266,0.9715246606826782,0.695
48,0.4737348701477051,0.8342,0.9705684935569763,0.6922
49,0.47062476692199706,0.8366,0.9735325448989868,0.6964
50,0.44418412847518923,0.8484,0.9501827133178711,0.6982
51,0.4427125937461853,0.8436,0.9756489530563355,0.7018
52,0.4353178261756897,0.8454,0.9719118195533752,0.7028
53,0.41721017427444457,0.8594,0.9515341344356537,0.6982
54,0.41709936552047727,0.855,0.9542636909484863,0.7042
55,0.3958755461215973,0.867,0.9634283759117126,0.7048
56,0.38072369594573974,0.8734,0.9865346132278442,0.7056
57,0.38926260533332824,0.869,0.9734560583114624,0.701
58,0.3668105712890625,0.881,0.9627438369750977,0.706
59,0.36540738620758056,0.8764,0.9860592240095138,0.6992
60,0.3646392805099487,0.88,0.9716418319702148,0.7052
61,0.3438833396434784,0.8874,0.9854580066680908,0.7034
62,0.35229048767089843,0.8844,0.9858356618881225,0.706
63,0.3407807192802429,0.88,0.9774972377777099,0.7074
64,0.3397625629425049,0.8842,0.9731502145767212,0.7106
65,0.33804918026924136,0.8852,0.97275849609375,0.7074
66,0.31908435235023497,0.8952,0.9668924877166748,0.7084
67,0.31469341468811035,0.8982,0.9734855743408203,0.7098
68,0.3008972221374512,0.9054,0.9727428512573242,0.7076
69,0.30455755462646483,0.9038,0.969208871936798,0.7096
70,0.31258077154159547,0.898,0.9620595043182373,0.7072
71,0.31195237283706667,0.8986,0.960586479473114,0.7112
72,0.30115826964378356,0.9066,0.9687674591064453,0.71
73,0.29214765872955323,0.909,0.9584882852554322,0.7126
74,0.30587697525024415,0.9026,0.96500625,0.7086
75,0.3001990589141846,0.9034,0.9600834227561951,0.7106
76,0.297319806599617,0.9062,0.9647313035964966,0.7116
77,0.29777771701812744,0.9074,0.9663277665257454,0.7098
78,0.29807022018432616,0.9058,0.9654163383483887,0.7094
79,0.29012730350494387,0.9094,0.9647780445098877,0.7102
80,0.2947456230163574,0.908,0.9628829303741455,0.7092
